query_id,answer
438,4234 1909 4328 4308 4286 1951 4403 4396 1907 4219
439,4440 4389 2222 2886 2894 3254 4395 3128 4307 4219
440,4219 4214 4395 2646 4389 4440 4384 2865 4234 3565
441,4219 2646 4234 4308 4361 1951 4214 4384 4440 4400
442,2646 4214 4219 4395 4234 4424 4384 2665 2698 4328
443,4219 2865 4400 2646 1966 4384 4387 4234 4403 2831
444,4451 2698 4214 4234 4361 2222 4219 4440 1951 4276
445,4234 4286 4328 1951 4308 2646 4396 1909 1907 3467
446,4423 4232 4364 4440 2646 4219 2908 4384 4400 4387
447,4387 4219 4384 2646 1966 1958 4400 2865 4395 4234
448,4400 1966 4219 4384 2865 4387 2646 4403 4440 1958
449,4387 1958 4219 4400 1966 4384 2646 4403 2865 4234
450,4219 2865 2646 4234 1966 4361 4440 4400 4384 1951
451,1951 3467 4234 4214 2698 2646 2665 4308 4328 4219
452,4219 4308 2646 4384 4234 4389 1951 4361 4214 4440
453,4440 4389 4384 4219 2886 2222 2646 2894 4361 4395
454,4219 4400 4361 2646 4234 1958 4451 4387 4396 4389
455,1951 4234 2698 4219 1907 3467 4403 4214 4532 4361
456,4361 4234 4384 4219 2646 4440 2865 4308 4395 1951
457,1951 4234 4308 2698 3467 4219 2646 4214 4328 4286
458,4440 4224 4433 4307 4234 3862 1951 2222 4219 4389
459,4423 3028 4318 4364 4232 4440 4219 2908 4372 4234
460,4219 2646 4384 4400 2865 1966 4234 4361 4403 4387
461,4219 2646 4214 4395 2665 4234 4389 4384 4396 4308
462,4234 2222 4433 4451 4214 2698 4440 4219 1951 4389
463,4219 2646 4384 4440 1966 2865 4389 4214 4400 4361
464,4219 4384 2646 1966 2865 4234 1951 4361 2943 4328
465,4219 4400 1966 2865 4384 4387 2646 4234 4361 4403
466,4440 3256 4389 4234 2222 1951 4219 4214 4400 2886
467,1951 4234 2698 4214 4219 4403 2646 3467 4308 4361
468,2222 3993 4234 4440 4307 4134 4224 4395 4451 4219
469,2222 4440 4307 4234 4451 4214 3128 4219 3993 2646
470,4219 4400 4384 4387 2646 1958 1966 2865 4440 4403
471,4234 4451 2698 4361 1951 4384 4214 4400 4276 3467
472,4224 3993 4134 4276 2095 2222 4307 4234 4440 1951
473,4440 4219 2646 1966 4361 4384 1958 2943 1951 4400
474,1951 4214 4234 4328 4286 3467 4396 2698 4219 4361
475,4440 4389 2894 2886 4219 3254 2646 2865 4234 4395
476,4440 4389 2886 3254 2894 4219 2222 2646 1958 4234
477,4440 4389 2222 2894 2886 4395 4219 3254 1951 3128
478,4219 4384 1966 2646 4387 2865 4400 4395 4403 4234
479,4328 4234 1909 4308 4286 4396 1951 4219 1907 1899
480,4219 2865 2646 4384 4400 4387 4403 1966 4440 2831
481,4440 2222 4307 3128 4395 2894 3993 2886 4219 4234
482,2646 4234 2698 4214 4403 1951 1958 4396 2665 4219
483,4286 4328 4396 4234 4219 1907 4400 4451 3467 4384
484,1966 2646 4219 4440 2865 4400 4403 4387 4384 4218
485,2865 4219 4400 1966 2646 4384 4387 4403 4234 4361
486,4308 4219 4361 4234 4403 4387 4389 2646 1909 1951
487,1909 4234 4328 4308 4396 4286 4219 4214 2646 4361
488,1951 3467 4234 3861 4396 4320 4286 4219 4328 4308
489,4214 2646 4219 2665 4234 2698 4361 2865 4440 1951
490,2646 4219 4384 4234 4440 4361 4389 2865 4400 4308
491,4395 4219 4214 2646 4440 4384 4387 4389 2865 1958
492,4219 2646 1966 4387 4384 2865 4400 4218 4395 4440
493,4440 4389 3128 2894 2886 2222 4307 4219 4395 2646
494,4234 1951 4214 2698 4219 2646 4286 1909 4308 4451
495,4423 4364 3028 2908 4372 4232 4389 4307 4384 4440
496,4234 4361 4219 2646 1909 4387 4308 1958 4396 4384
497,4219 4395 4214 2646 2865 1966 4387 2665 4389 4234
498,4219 4400 1958 2646 4387 4384 2865 4440 4234 4361
499,4234 2698 4214 3995 2665 1951 4328 4308 1909 4286
500,4234 2698 4219 4214 4396 4387 4451 1951 4308 4400
